,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,date
75,"Joinville, SC, Brasil",2023-08-23,37.6,17.4,27.4,38.5,17.4,28.4,18.6,64.2,0.0,0,0.0,,0,0,44.3,21.7,285.8,1002.4,8.2,13.6,198.8,17.1,7,30,2023-08-23T06:37:18,2023-08-23T17:59:14,0.25,Clear,Clear conditions throughout the day.,clear-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-23
76,"Joinville, SC, Brasil",2023-08-24,23.1,15.9,20.1,23.1,15.9,20.1,18.1,88.5,2.0,100,37.5,rain,0,0,42.5,23.3,144.1,1007.3,69.9,8.0,163.6,14.0,8,10,2023-08-24T06:36:21,2023-08-24T17:59:40,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-24
77,"Joinville, SC, Brasil",2023-08-25,15.7,13.9,14.5,15.7,13.9,14.5,13.6,94.7,24.0,100,79.17,rain,0,0,21.2,7.5,280.3,1015.7,95.1,9.7,20.6,1.9,1,10,2023-08-25T06:35:22,2023-08-25T18:00:06,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-25
78,"Joinville, SC, Brasil",2023-08-26,18.9,9.2,14.2,18.9,8.7,14.1,9.0,74.9,0.3,100,4.17,rain,0,0,17.3,16.0,132.1,1020.4,64.7,13.3,172.1,14.9,7,10,2023-08-26T06:34:23,2023-08-26T18:00:32,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-26
79,"Joinville, SC, Brasil",2023-08-27,16.0,10.3,13.4,16.0,10.3,13.4,9.9,80.1,0.7,100,29.17,rain,0,0,11.9,12.6,134.5,1023.7,91.6,13.5,69.6,6.1,3,10,2023-08-27T06:33:24,2023-08-27T18:00:57,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-27
80,"Joinville, SC, Brasil",2023-08-28,15.0,10.6,13.2,15.0,10.6,13.2,10.0,81.5,0.0,0,0.0,,0,0,12.6,9.2,155.6,1024.9,86.3,13.5,46.5,4.0,2,10,2023-08-28T06:32:23,2023-08-28T18:01:23,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-28
81,"Joinville, SC, Brasil",2023-08-29,18.9,11.8,15.2,18.9,11.8,15.2,12.8,86.2,0.9,100,16.67,rain,0,0,14.8,7.7,179.4,1023.0,95.5,11.3,107.3,9.1,5,10,2023-08-29T06:31:22,2023-08-29T18:01:48,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-29
82,"Joinville, SC, Brasil",2023-08-30,23.8,13.5,18.0,23.8,13.5,18.0,15.6,86.8,0.0,0,0.0,,0,0,11.5,21.2,149.5,1017.9,59.8,13.0,240.8,20.8,9,10,2023-08-30T06:30:21,2023-08-30T18:02:13,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-30
83,"Joinville, SC, Brasil",2023-08-31,24.8,14.1,19.1,24.8,14.1,19.1,16.5,85.9,0.0,0,0.0,,0,0,14.0,14.7,148.3,1018.4,18.2,13.4,223.9,19.2,8,10,2023-08-31T06:29:19,2023-08-31T18:02:38,0.52,Clear,Clear conditions throughout the day.,clear-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-31
84,"Joinville, SC, Brasil",2023-09-01,23.8,13.7,18.7,23.8,13.7,18.7,15.8,84.3,0.0,0,0.0,,0,0,15.8,16.2,75.3,1018.4,61.5,12.7,228.1,19.8,8,10,2023-09-01T06:28:16,2023-09-01T18:03:03,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-01
