,date,start_time,name,type,month,year,dayofyear,weekday,distance,max_heartrate,average_heartrate,average_speed,max_speed,total_elevation_gain,time_min,tempmax,tempmin,temp,conditions,description,icon
74,2023-11-23,07:26:25,Treinamento com peso matinal,WeightTraining,November,2023,327,Thursday,0.0,117.0,94.1,0.0,0.0,0.0,49.25,24.0,21.9,22.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
75,2023-11-22,07:28:22,Treinamento com peso matinal,WeightTraining,November,2023,326,Wednesday,0.0,107.0,94.0,0.0,0.0,0.0,42.87,30.8,22.7,25.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
76,2023-11-16,20:11:11,Corrida ao entardecer,Run,November,2023,320,Thursday,3.0,173.0,128.2,4.35,0.0,0.0,41.38,25.9,22.9,24.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
77,2023-11-14,07:18:29,Treinamento com peso matinal,WeightTraining,November,2023,318,Tuesday,0.0,111.0,91.6,0.0,0.0,0.0,50.48,25.9,21.0,23.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
78,2023-10-21,16:57:46,Corrida da tarde,Run,October,2023,294,Saturday,2.31,122.0,102.0,5.21,13.02,3.6,57.85,22.9,16.6,19.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
79,2023-10-13,16:24:36,Treinamento com peso vespertino,WeightTraining,October,2023,286,Friday,0.0,113.0,97.2,0.0,0.0,0.0,38.5,16.1,15.1,15.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
80,2023-10-10,12:05:56,Treinamento com peso na hora do almoço,WeightTraining,October,2023,283,Tuesday,0.0,124.0,97.1,0.0,0.0,0.0,43.53,23.0,17.3,20.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
81,2023-10-09,12:15:51,Treinamento com peso na hora do almoço,WeightTraining,October,2023,282,Monday,0.0,127.0,88.0,0.0,0.0,0.0,60.0,23.9,18.9,20.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
82,2023-10-06,12:14:40,Treinamento com peso na hora do almoço,WeightTraining,October,2023,279,Friday,0.0,121.0,91.1,0.0,0.0,0.0,39.53,21.9,17.0,19.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
83,2023-10-03,12:15:56,Treinamento com peso na hora do almoço,WeightTraining,October,2023,276,Tuesday,0.0,122.0,94.1,0.0,0.0,0.0,39.97,20.9,14.4,17.6,Overcast,Cloudy skies throughout the day.,cloudy
84,2023-10-02,12:20:20,Treinamento com peso na hora do almoço,WeightTraining,October,2023,275,Monday,0.0,121.0,95.1,0.0,0.0,0.0,39.75,19.9,15.9,17.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
85,2023-10-01,18:04:04,Corrida ao entardecer,Run,October,2023,274,Sunday,3.15,167.0,124.4,6.93,14.32,6.5,27.5,21.9,18.0,19.6,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
86,2023-09-27,12:12:46,Treinamento com peso na hora do almoço,WeightTraining,September,2023,270,Wednesday,0.0,124.0,98.5,0.0,0.0,0.0,38.87,26.8,18.9,22.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
87,2023-09-26,12:09:20,Treinamento com peso na hora do almoço,WeightTraining,September,2023,269,Tuesday,0.0,117.0,92.0,0.0,0.0,0.0,45.28,28.6,18.9,22.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
88,2023-09-24,11:02:17,Corrida na hora do almoço,Run,September,2023,267,Sunday,1.66,97.0,83.7,5.34,10.19,5.9,38.47,32.7,18.9,23.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
89,2023-09-23,11:34:34,Treinamento com peso na hora do almoço,WeightTraining,September,2023,266,Saturday,0.0,117.0,92.4,0.0,0.0,0.0,50.43,26.9,17.3,22.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
90,2023-09-18,19:48:15,Corrida ao entardecer,Run,September,2023,261,Monday,4.28,99.0,94.0,4.89,17.42,11.5,53.72,31.5,18.1,23.4,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain
91,2023-06-25,16:32:13,Corrida da tarde,Run,June,2023,176,Sunday,2.82,170.0,147.8,6.95,13.27,12.9,24.65,28.9,14.0,20.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
92,2023-06-23,12:07:29,Treinamento com peso na hora do almoço,WeightTraining,June,2023,174,Friday,0.0,136.0,109.0,0.0,0.0,0.0,56.18,22.8,17.2,19.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
93,2023-06-22,12:13:07,Treinamento com peso na hora do almoço,WeightTraining,June,2023,173,Thursday,0.0,116.0,92.7,0.0,0.0,0.0,46.67,22.9,15.2,18.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
94,2023-06-21,12:18:08,Treinamento com peso na hora do almoço,WeightTraining,June,2023,172,Wednesday,0.0,117.0,82.2,0.0,0.0,0.0,39.47,21.9,9.5,16.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
95,2023-06-20,12:19:52,Corrida na hora do almoço,Run,June,2023,171,Tuesday,3.0,179.0,128.5,3.84,0.0,0.0,46.8,21.9,9.2,15.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
96,2023-06-15,12:08:12,Treinamento com peso na hora do almoço,WeightTraining,June,2023,166,Thursday,0.0,136.0,96.2,0.0,0.0,0.0,53.17,21.9,15.3,18.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
97,2023-06-14,12:09:52,Treinamento com peso na hora do almoço,WeightTraining,June,2023,165,Wednesday,0.0,119.0,88.9,0.0,0.0,0.0,55.35,16.1,12.5,14.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
98,2023-06-09,19:43:26,Corrida ao anoitecer,Run,June,2023,160,Friday,4.46,183.0,137.6,6.41,13.03,18.0,44.33,27.7,13.6,18.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
